,t,Z_UM,Y_UM,X_UM,ID_I,ID_J,SL_UM,SUMINT
0,0,2.5940253111543523,18.193212562550748,78.36015020458031,11008,11009,5.4385270303886495,144
1,0,2.6215470901254596,23.498731088280998,87.75365270417873,11012,11011,9.864274715013108,126
2,0,2.980642835480957,21.33957283205468,88.00240493965934,11015,11012,10.503644647080224,128
3,0,3.3594783076184376,21.760623988668947,148.1266746229545,11019,11010,1.6991484770588292,122
4,0,4.26178057825138,13.466478140508078,83.27932170372662,11020,11016,4.014370522056335,134
5,0,3.6029506028145413,22.498183869258064,75.32760949662477,11021,11013,5.079708566632594,139
6,0,5.376417073853542,17.146160862661517,87.94292461486279,11022,11028,10.747215091795999,153
7,0,4.492110157949897,16.629879671095022,78.59809110756837,11027,11015,10.836140976028874,126
8,0,5.5150050254067455,12.234708007162897,61.78059260324676,11041,11014,8.064053635724441,132
9,0,6.331519607348737,20.471127900007886,79.78632851628242,11043,11021,9.264562511292757,145
10,0,8.871535901637913,8.67859236735298,79.42224035895303,11047,11031,5.30449161890998,143
11,0,8.580492018384799,13.913027803235495,70.52174644377675,11053,11017,9.507812018329242,132
12,0,3.474202405833798,19.470564054057952,131.70814467649143,10992,11035,9.98351866017125,143
13,0,2.572007077333165,18.585672423940117,151.99602675671304,10995,11019,9.774106521361013,127
14,0,3.012698122159454,16.750567026659983,90.865820527675,11001,11022,10.470068353117274,151
15,1,0.0,16.806476673965737,111.4648044469046,10921,10923,7.879566315186674,136
16,1,0.2933429457437675,19.559423779055656,139.80833225436842,10922,10924,4.479489725321987,146
17,1,0.9693210733871965,22.229912795865715,140.29402109540018,10924,10929,1.3198647649987345,145
18,1,0.8679181117545278,13.194854536254427,126.77938010860635,10927,10920,8.9845363306327,121
19,1,1.9415892254163174,21.714089529863095,86.52318471473534,10928,10936,9.858073492759416,128
20,1,0.675978127643429,20.0191100996134,140.08724004152396,10929,10922,5.594408518604361,151
21,1,1.6354735352101843,19.361835020431187,91.06707905547621,10931,10928,3.1537881546892197,129
22,1,2.598339221342583,19.459096164159313,84.44088325084623,10932,10945,4.762602106633493,132
23,1,1.8585338399316687,18.253652086370394,151.36870461362884,10935,10925,10.69309250820896,123
24,1,2.5396866626888275,23.30288700814905,77.93943122938015,10936,10937,7.662636815219031,128
25,1,2.300053881572259,11.483986437678645,120.82099177089464,10939,10927,3.7986055558143565,128
26,1,2.5220328684530537,13.900802147063988,136.82024026582195,10940,10930,3.5913300844897993,130
27,1,2.4471217257211624,19.44939484535973,83.15160939988851,10941,10932,7.034078476941051,138
28,1,2.347782357287116,20.536874775754583,91.32108668846274,10942,10931,5.609067390159643,135
29,1,3.012154666876239,17.85988664490315,147.2291389271052,10943,10935,7.615209281012436,126
30,1,3.9906293684597585,15.874549741466833,81.47694128318068,10945,10947,5.629722726115196,132
31,1,5.387919325718772,13.506411780121752,76.76106409165075,10947,10955,7.70848911271232,132
32,1,3.436695928241525,12.690295707705095,114.11445538689114,10954,10926,7.052523458726042,122
33,1,6.452448123594818,11.66860200167073,71.43600148343519,10955,10960,5.165555285739799,132
34,1,4.420859625680029,20.06142923408341,82.61533479301586,10956,10941,7.012661100941748,149
35,1,4.498470741282334,24.672513224404085,95.45290905705619,10957,10942,8.41495181789419,145
36,1,3.9360131156215736,25.428577680714753,138.48578742963872,10958,10934,10.801835642200363,125
37,1,5.674820439455087,10.107211217440224,88.1524305548428,10959,10946,9.441726120460213,116
38,1,5.099603712141798,18.07156264741098,55.457056033613625,10972,10933,10.179423030498883,139
39,1,18.5,12.740393607683703,77.10550793050439,10985,10986,3.1567038938306515,171
40,2,2.9442108175969466,20.852583630962734,76.35746509861735,10754,10752,8.030320566501022,137
41,2,5.039349763892352,18.97482365965712,82.40157852869135,10757,10785,4.127443949096712,142
42,2,4.140880453004339,15.606018335943094,80.84849722998607,10761,10757,5.29880189318322,139
43,2,5.004752817387123,16.136031476621454,76.80151826651039,10762,10761,8.529616367212363,138
44,2,4.520444344620018,24.40366983106336,94.84740676226244,10767,10753,8.653206751505095,143
45,2,5.730123557710605,16.150044037065307,73.0374026121394,10770,10762,6.029118578341826,139
46,2,4.74839466445733,25.92545727083637,73.8398230643279,10778,10754,5.802368983026335,130
47,2,6.159586865803023,15.706610652319515,85.46978660399199,10785,10765,9.898784921339997,139
48,2,7.395505659588088,27.103236759450468,100.61752119794383,10801,10767,5.347585564193093,144
49,2,10.580527823529625,16.746798543053842,126.24083901683117,10817,10791,9.209152989892665,136
50,2,18.5,9.758599359076879,80.35205563284143,10833,10827,10.169772440319766,172
51,2,1.6438776238264428,13.005923523766434,132.7046652178238,10734,10756,6.062254077032176,123
52,3,5.244518339616761,12.595674047066316,81.15834191337251,10880,10881,3.9008763266933344,134
53,3,6.2464759633369376,14.114154956100858,70.85791359107078,10884,10893,10.647545555532984,138
54,3,5.8093055843619545,15.93305995919772,72.37424119256052,10889,10884,6.144584289939753,136
55,3,6.40795185476086,20.82595548874665,83.55719490773839,10894,10886,3.455401115842076,150
56,3,6.570868282887039,9.118102194506385,89.09502225000847,10896,10885,5.627562264272825,135
57,3,6.800343165064833,26.649686019203763,140.0539352572556,10897,10888,5.658943264563791,128
58,3,8.16501026102886,28.44968799246096,56.47017380248818,10906,10882,6.59224141459769,147
59,3,9.486168496636495,10.611697797183554,75.0075625335114,10907,10889,10.269145339021764,140
60,3,11.07514824808963,15.166774379700406,123.80291344952212,10912,10898,8.624848699417894,145
61,3,4.246510341749796,19.86193085712664,86.18280363554189,10862,10894,9.170652392868327,154
62,3,4.7135124671564705,25.75276843122208,135.10770754160274,10866,10897,8.612876590422568,130
63,3,4.536658089571538,24.048851190365667,81.94720971688665,10871,10891,6.413961248044372,133
64,3,4.441695345877899,24.11667200812311,94.1229789321689,10874,10887,8.83535540518907,130
65,4,0.9338221981279525,18.17821725734364,131.03382662951933,11066,11074,10.759319207036826,122
66,4,0.7023940900306109,17.939110721548666,138.67954938625275,11067,11068,3.6463122244251074,148
67,4,1.326099947844542,20.553530611066282,138.964805364545,11068,11069,1.902379218360456,132
68,4,2.513720809718916,9.918171780627606,116.22443565197685,11070,11076,10.673983666605732,129
69,4,2.047505061612556,18.05318962847976,86.43829342076896,11072,11071,4.977270461819713,139
70,4,1.8949447643801491,19.492963544399977,86.89881933346885,11073,11072,5.410159915543362,141
71,4,2.982390717461551,19.706782053215456,75.98794549987849,11077,11078,8.826819368118837,130
72,4,2.438856792080677,21.083019590713825,89.59076665301902,11079,11073,2.767199192130973,137
73,4,3.2728238724261924,20.071549443768625,76.49883704203796,11080,11082,9.558612265641893,129
74,4,4.345496067790687,14.823869610404495,80.11516735460376,11081,11089,7.29285287683514,138
