Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0001-0043-0070,Straight Line,70,39,0,9,2,none,none,0,1,0,1,0
1,0002-0043-0073,Straight Line,73,39,0,9,2,none,none,0,2,0,2,0
2,0003-0043-0074,Straight Line,74,39,0,9,2,none,none,0,3,0,3,0
3,0004-0043-0074,Straight Line,74,39,0,9,2,none,none,0,4,0,4,0
4,0005-0043-0075,Straight Line,75,39,0,9,2,none,none,0,5,0,5,0
5,0006-0043-0076,Straight Line,76,39,0,9,2,none,none,0,6,0,6,0
6,0007-0043-0077,Straight Line,77,39,0,9,2,none,none,0,7,0,7,0
7,0008-0043-0079,Straight Line,79,39,0,9,2,none,none,0,8,0,8,0
8,0009-0043-0081,Straight Line,81,39,0,9,2,none,none,0,9,0,9,0
9,0010-0043-0082,Straight Line,82,39,0,9,2,none,none,0,10,0,10,0
10,0011-0043-0082,Straight Line,82,39,0,9,2,none,none,0,11,0,11,0
11,0012-0043-0085,Straight Line,85,39,0,9,2,none,none,0,12,0,12,0
12,0013-0043-0085,Straight Line,85,39,0,9,2,none,none,0,13,0,13,0
13,0014-0042-0085,Straight Line,85,38,0,9,2,none,none,0,14,0,14,0
14,0015-0043-0087,Straight Line,87,39,0,9,2,none,none,0,15,0,15,0
15,0016-0043-0087,Straight Line,87,39,0,9,2,none,none,0,16,0,16,0
16,0017-0043-0086,Straight Line,86,39,0,9,2,none,none,0,17,0,17,0
17,0018-0043-0086,Straight Line,86,39,0,9,2,none,none,0,18,0,18,0
18,0019-0043-0089,Straight Line,89,39,0,9,2,none,none,0,19,0,19,0
19,0020-0044-0089,Straight Line,89,40,0,9,2,none,none,0,20,0,20,0
20,0021-0044-0089,Straight Line,89,40,0,9,2,none,none,0,21,0,21,0
21,0022-0044-0089,Straight Line,89,40,0,9,2,none,none,0,22,0,22,0
22,0023-0044-0088,Straight Line,88,40,0,9,2,none,none,0,23,0,23,0
23,0024-0044-0088,Straight Line,88,40,0,9,2,none,none,0,24,0,24,0
24,0025-0044-0087,Straight Line,87,40,0,9,2,none,none,0,25,0,25,0
25,0026-0044-0086,Straight Line,86,40,0,9,2,none,none,0,26,0,26,0
26,0027-0044-0086,Straight Line,86,40,0,9,2,none,none,0,27,0,27,0
27,0028-0044-0086,Straight Line,86,40,0,9,2,none,none,0,28,0,28,0
28,0029-0044-0086,Straight Line,86,40,0,9,2,none,none,0,29,0,29,0
29,0030-0044-0086,Straight Line,86,40,0,9,2,none,none,0,30,0,30,0
30,0031-0044-0086,Straight Line,86,40,0,9,2,none,none,0,31,0,31,0
31,0032-0044-0086,Straight Line,86,40,0,9,2,none,none,0,32,0,32,0
32,0033-0044-0085,Straight Line,85,40,0,9,2,none,none,0,33,0,33,0
33,0034-0044-0085,Straight Line,85,40,0,9,2,none,none,0,34,0,34,0
34,0035-0044-0085,Straight Line,85,40,0,9,2,none,none,0,35,0,35,0
35,0036-0044-0085,Straight Line,85,40,0,9,2,none,none,0,36,0,36,0
36,0037-0044-0085,Straight Line,85,40,0,9,2,none,none,0,37,0,37,0
37,0038-0044-0085,Straight Line,85,40,0,9,2,none,none,0,38,0,38,0
38,0039-0045-0086,Straight Line,86,41,0,9,2,none,none,0,39,0,39,0
39,0040-0045-0086,Straight Line,86,41,0,9,2,none,none,0,40,0,40,0
40,0041-0045-0085,Straight Line,85,41,0,9,2,none,none,0,41,0,41,0
41,0042-0045-0083,Straight Line,83,41,0,9,2,none,none,0,42,0,42,0
42,0043-0045-0083,Straight Line,83,41,0,9,2,none,none,0,43,0,43,0
43,0044-0045-0081,Straight Line,81,41,0,9,2,none,none,0,44,0,44,0
44,0045-0045-0081,Straight Line,81,41,0,9,2,none,none,0,45,0,45,0
45,0046-0045-0080,Straight Line,80,41,0,9,2,none,none,0,46,0,46,0
46,0047-0045-0080,Straight Line,80,41,0,9,2,none,none,0,47,0,47,0
47,0048-0045-0079,Straight Line,79,41,0,9,2,none,none,0,48,0,48,0
48,0049-0045-0078,Straight Line,78,41,0,9,2,none,none,0,49,0,49,0
