,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity_normalized,diameter,contrast_normalized
3318,4.85277015814763,0.129645719233451,26.3592113481513,36.4536470779908,44.087366526404,26.3592113481513,7,7.0,0.121235403523753,10.010093596555699,0.503001577355101
804,4.90872974864526,0.0795397057463611,54.2431930675547,51.03182188258229,55.15805827813661,46.4051638523415,10,10.0,0.110831600391716,9.32923681738046,0.196769867789196
2831,4.385092518306241,0.0823178668755126,54.28195035194679,43.6261063500096,54.28195035194679,43.6261063500096,9,9.0,0.040802429559768094,8.93930980362185,0.396598761523086
2171,1.69871010332036,0.0585511258527643,60.719616331728496,55.568041957052095,60.749147281259205,53.610394427463206,7,7.0,0.0568559380272244,9.40212899062641,0.152660230314614
1054,1.95165358205116,0.139988516785557,31.0840405911622,36.333912970949896,38.6848357883787,31.0840405911622,5,6.0,0.0623335429281133,9.48967766541739,0.281126982850256
2282,2.21045801037156,0.12118714228781,59.3326350549231,53.411585533170395,59.4301248728127,53.411585533170395,5,5.0,0.099316437390256,9.38175604948255,0.352188938725193
259,1.29778817428569,0.0250640608269948,75.8051878594062,76.9748104894268,79.6529127631156,75.0336864613462,4,11.0,0.0507490318231158,11.1933608058674,0.439699944166141
315,1.4169315122084098,0.0109073950235827,6.0993539009008595,6.1844916851005,7.60096491698502,5.42535683700308,6,6.0,0.992903805892459,14.0608486394061,0.313272763393685
800,3.55928286056889,0.0541172632196634,80.04737016115591,71.2965325212927,80.0896591563057,71.2965325212927,3,6.0,0.21953079487627,8.16766056986843,0.493781243499318
1204,2.27043028182857,0.0586254793452101,69.2964645562817,70.73308254277929,78.8034620975079,69.2964645562817,9,13.0,0.104745903703823,10.1434732020974,0.26076689822495
3029,5.6188052946101,0.246550187695177,16.4579875593749,32.6179842037625,32.6179842037625,16.4579875593749,5,5.0,0.0611238485455349,7.60344516885911,0.454257882855232
209,4.19613643419313,0.0615251884878615,39.3896065164382,60.85320215721129,62.0003274484395,39.3896065164382,12,12.0,0.0669130255518761,10.7464773350441,0.39715015537783693
2846,3.06409033457017,0.0779867038452076,53.2634959423431,63.5119836856613,64.32231430642861,53.2634959423431,3,6.0,0.0405092064454155,8.27698962721542,0.549518940116934
2508,3.31527848431643,0.122870090814112,54.0092584655631,58.5234995535981,61.0737259384099,54.0092584655631,8,8.0,0.0716516632034053,8.201286512925,0.553370160185682
1205,2.75035283502711,0.0858894599895015,46.5928854801585,35.4780859834947,46.5928854801585,35.4780859834947,9,13.0,0.107287621114409,10.2485463568309,0.22520211589541
2701,4.19386464974552,0.0911652786176707,44.0316834340202,60.5766865847005,60.64607484388989,44.0316834340202,6,6.0,0.189998644821248,7.74153217075394,0.684737792803255
2578,2.71834951195341,0.109643889904832,58.6685605754905,77.987178433381,77.987178433381,58.6685605754905,9,9.0,0.0787890110836371,9.27915581408729,0.49315499043719
699,2.6969175643988,0.385719439310648,23.2547700658443,14.9509156679023,27.0812116656792,14.9509156679023,4,7.0,0.0872757940576022,10.8279183085396,0.186101050377114
3484,3.6944786054797696,0.104430245181328,85.2363433606793,89.7985916477779,89.7985916477779,82.7475143771817,6,6.0,0.0784369764262351,8.28791160608791,0.347896061455453
3369,3.79263295744854,0.051710639250962,72.0624728967859,90.3154717909382,90.3154717909382,72.0624728967859,13,13.0,0.0936958892018377,8.3243492866967,0.469127517048189
63,5.23548641671659,0.126825246685026,76.0591874792257,50.9641874827631,76.0591874792257,50.9641874827631,15,15.0,0.0601240993937444,9.09755166937687,0.664741395819241
1525,2.2295481313263,0.0777331555236584,77.2334124585985,83.31356702750179,83.31356702750179,77.2334124585985,5,9.0,0.124547173579102,10.0144867655459,0.428945038373624
379,2.47999821874724,0.130874570780751,32.3215284749792,42.6260654966598,42.6260654966598,32.3215284749792,9,9.0,0.0778629379308318,8.89478817885488,0.163509856675878
2375,2.11769137073255,0.0560783054709386,74.8713261160172,84.3807619159508,84.3807619159508,74.8713261160172,3,6.0,0.063964591533837,9.41894948483316,0.125354732600782
483,2.28885963565431,0.0454807282493804,50.570522880778206,45.643385534512994,50.570522880778206,41.4559637380315,6,6.0,0.0822957655859432,10.281469712678199,0.179453502431357
728,2.20055707406365,0.177103887946363,27.9842113415477,24.804086109897,31.383273207336696,24.804086109897,4,7.0,0.12240166505899,10.579320682430401,0.243777579365542
1543,2.02072594216369,0.024468119705345,85.90692637965809,88.4646822183859,88.4646822183859,80.8949936646267,6,7.0,0.108668613356343,10.5191426213383,0.414803435786137
3348,4.5961212910935405,0.0743122535716894,67.1023019967371,62.110504233434895,67.1023019967371,62.110504233434895,7,7.0,0.0677874234856462,8.72821259723816,0.34186286055526
1216,1.57622701739133,0.07840359999152,48.075053831059506,52.053471008893005,52.053471008893005,47.587962175848,5,5.0,0.109421576373564,11.285397907336801,0.165750330485374
352,1.49153238564569,0.0227950738256696,63.801880028073796,66.5870933981748,70.40563237791841,63.801880028073796,8,8.0,0.0115505425428669,6.722284255717679,0.384272008534029
