,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity,diameter,contrast,centID_i,centID_j,Predicted_Label,True_Label
0,5.219985195615010,0.2709411996352230,24.685723488652200,55.53743387008280,55.541074534293500,24.685723488652200,10,16.0,0.6257672896595700,4.924614787365090,0.0,23,189,0,0
1,4.2583082336018100,0.17175480913489500,29.73149929953340,11.983554348100100,32.58601212383210,11.983554348100100,11,11.0,0.6523749029920470,4.658890277364500,0.023950502565665700,23,216,1,1
2,10.833485520183300,0.3383428801238170,38.91389548251270,45.760180179896200,50.90982861163340,32.985248584616300,5,15.0,0.614943261675144,5.53194098621277,0.0009182152882329930,29,189,0,0
3,9.407882157064950,0.2546299531375350,30.891826246942200,47.337792271583200,47.337792271583200,30.342195947641100,9,13.0,0.6575322342710860,5.015918414758870,0.04652277028496320,29,229,0,0
4,9.536441827956990,0.07891674834927980,38.242413567443700,26.22391860962430,38.242413567443700,26.22391860962430,7,10.0,0.6252090511098040,5.304749421190120,0.03370210428457300,29,266,0,1
5,2.90688151268019,0.08969522756976770,25.860103830448300,6.7468493778754500,25.860103830448300,6.7468493778754500,5,5.0,0.7929778599427590,5.941326361164820,0.009665244988898650,34,194,1,0
6,3.6306283940891300,0.16728574014172400,29.575528723815600,22.4392655006628,29.575528723815600,22.4392655006628,1,5.0,0.6659224035234280,6.3539205789977,0.11200535961558600,34,242,1,0
7,0.6519202405202650,0.0,34.0,26.0,34.0,26.0,5,5.0,0.002990563659461380,8.513538311505930,0.9652794035829030,117,118,0,0
8,1.51657508881031,0.0,6.0,10.0,10.0,4.0,5,5.0,0.010766029174060700,8.510223809829630,0.8726609993874230,117,120,0,0
9,2.3454042589671700,0.4548114514969620,12.580533612382600,10.006626195984100,12.580533612382600,8.627893316875520,4,5.0,0.23760610851756300,6.164238242241440,0.4555552633447870,117,226,0,0
11,2.8881943609574900,0.0,37.0,36.0,40.0,30.0,6,6.0,0.0,8.503386578453770,0.9827746695089580,118,120,0,0
12,3.3076721191122400,0.11794130462329800,31.825572555109400,36.329284945895500,36.329284945895500,29.50447667519380,5,6.0,0.2268400793435020,6.1574010108655800,0.5656689334663210,118,226,0,0
15,3.137222308374390,0.18143369864494500,37.21357785349600,14.951170177139600,37.21357785349600,14.951170177139600,5,5.0,0.2887504234889100,6.102113256719460,0.4932880932353950,120,160,1,0
16,2.5955810207438600,0.4233648109663960,17.65144052606260,9.27710212937991,17.65144052606260,9.27710212937991,5,6.0,0.2346155448581020,6.154086509189280,0.4730505292708420,120,226,0,0
17,1.5,0.0,5.0,5.0,5.0,5.0,2,5.0,0.02042826848835660,8.492257733321960,0.8924375481293080,122,123,0,0
18,2.614064523559690,0.0,11.0,16.0,16.0,11.0,2,5.0,0.019547411555933500,8.497216973058230,0.8936254230690850,122,128,0,0
19,0.8539125638299670,0.0,24.0,23.0,26.0,22.0,2,5.0,0.009075001359347250,8.500924158947970,0.9238421945851270,122,129,0,0
