,True_Label
337,0
365,0
205,0
146,0
141,0
353,0
122,0
102,0
332,0
157,0
263,0
199,0
180,0
203,0
385,0
26,0
342,0
126,0
364,0
187,0
425,0
292,0
130,0
417,0
186,0
323,0
0,0
408,0
339,0
193,0
128,0
428,0
237,0
125,0
341,0
377,0
127,0
69,0
206,0
65,0
386,0
280,0
303,0
84,0
165,0
276,0
85,0
40,0
244,0
230,0
170,0
20,0
383,0
242,0
115,0
109,0
77,0
50,0
112,0
393,0
145,0
359,0
362,0
270,0
191,0
9,0
395,0
200,0
172,0
178,0
327,0
107,0
358,0
357,0
201,0
225,0
90,0
406,0
204,0
48,0
212,0
369,0
160,0
282,0
131,0
267,0
78,0
407,0
325,0
14,0
16,0
317,0
154,0
124,0
340,0
137,0
139,0
110,0
218,0
382,0
1,1
4,1
27,1
29,1
30,1
36,1
37,1
38,1
41,1
43,1
49,1
54,1
59,1
60,1
61,1
64,1
66,1
67,1
76,1
82,1
83,1
86,1
89,1
91,1
99,1
105,1
123,1
132,1
138,1
147,1
153,1
162,1
169,1
192,1
198,1
211,1
216,1
221,1
228,1
234,1
245,1
249,1
253,1
262,1
266,1
269,1
272,1
279,1
283,1
300,1
304,1
306,1
310,1
318,1
322,1
328,1
335,1
338,1
368,1
372,1
374,1
379,1
394,1
397,1
401,1
413,1
419,1
421,1
424,1
