Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,ESTIMATED_DIAMETER,SNR
Axe_1a,0,0,0,130.435,35.6714,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axe_1b,0,0,0,16.6647,11.8004,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cent_1a,284058,5,16.06316757,42.78418507,28.6924201,8.167664762,0,0,7.5,1,-10921639,67.80197612,67,20,155,164691,16.1077988,28.5,28.5,0.285969955
Cent_1a,283862,5,17.50069237,42.70517165,28.87978743,8.057247487,30.433043,1,7.5,1,-10921639,68.04075751,67,11,154,165271,16.19332043,7.432964836,7.432964836,0.320169627
Cent_1a,283660,5,16.06853294,42.9983092,28.9131148,8.037742499,60.866086,2,7.5,1,-10921639,67.60765747,66,24,169,164219,16.10958019,27.03798004,27.03798004,0.273292065
Cent_1a,283761,5,18.21094131,42.91822597,28.79425442,7.64950245,91.299129,3,7.5,1,-10921639,68.05599012,67,21,158,165308,16.75251568,7.009428988,7.009428988,0.320574812
Cent_1a,284268,5,16.32419395,43.96093206,28.86763625,7.812574946,121.732172,4,7.5,1,-10921639,67.71552079,67,17,155,164481,15.6349209,6.774749779,6.774749779,0.310030258
Cent_1a,284162,5,17.57166862,44.28285131,28.85578709,7.689185979,152.165215,5,7.5,1,-10921639,68.14656237,67,22,182,165528,16.54176761,7.250014585,7.250014585,0.313274739
Cent_1a,283962,5,19.51122093,44.67440932,28.91231454,7.602909598,182.598258,6,7.5,1,-10921639,68.75751338,67,17,160,167012,16.96022306,7.275350499,7.275350499,0.34749469
Cent_1a,283553,5,16.15665054,45.12149475,29.01144041,8.018831287,213.031301,7,7.5,1,-10921639,67.45203788,67,21,155,163841,15.8327292,7.357965714,7.357965714,0.318283542
Cent_1a,284799,5,17.89460182,45.03895052,28.85254525,8.357183247,243.464344,8,7.5,1,-10921639,68.3058872,67,25,150,165915,16.20050091,7.097365172,7.097365172,0.323933638
Cent_1a,284377,5,17.84506416,45.48309298,28.76585233,8.221753199,273.897387,9,7.5,1,-10921639,67.13132977,66,26,162,163062,16.50658979,7.420934671,7.420934671,0.300750601
Cent_1a,284587,5,20.45168304,46.25069633,28.86069943,8.931100946,304.33043,10,7.5,1,-10921639,68.87484562,67,18,172,167297,17.09786196,6.948711255,6.948711255,0.355211906
Cent_1a,284907,5,19.96275139,46.64983637,28.65449613,9.071465711,334.763473,11,7.5,1,-10921639,68.85343763,67,25,171,167245,17.02546576,6.955887029,6.955887029,0.333563107
Cent_1a,284485,5,21.19070816,46.78883013,28.37430931,9.197852389,365.196516,12,7.5,1,-10921639,70.38904899,69,21,170,170975,16.99308597,7.219365998,7.219365998,0.380325319
Cent_1a,284700,5,20.32957077,47.34038277,27.95862332,9.295384018,395.629559,13,7.5,1,-10921639,70.09633594,68,15,176,170264,17.05052886,28.5,28.5,0.353257361
Cent_1a,285117,5,18.97609711,46.89692181,27.91486218,9.42191798,426.062602,14,7.5,1,-10921639,69.81144504,69,20,165,169572,16.68236599,7.244162885,7.244162885,0.355889247
Cent_1a,285013,5,16.65814972,46.60443199,27.6768698,9.537916115,456.495645,15,7.5,1,-10921639,69.1708522,68,15,170,168016,16.13751266,28.5,28.5,0.292309515
