Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0001-0250-0599,Straight Line,none,597,235,4,31,2,none,none,0,1,0,1,0
1,0002-0249-0599,Straight Line,none,597,234,4,31,2,none,none,0,2,0,2,0
2,0003-0249-0598,Straight Line,none,596,234,4,31,2,none,none,0,3,0,3,0
3,0004-0250-0599,Straight Line,none,597,235,4,31,2,none,none,0,4,0,4,0
4,0005-0250-0595,Straight Line,none,593,235,4,31,2,none,none,0,5,0,5,0
5,0006-0250-0595,Straight Line,none,593,235,4,31,2,none,none,0,6,0,6,0
6,0007-0250-0596,Straight Line,none,594,235,4,31,2,none,none,0,7,0,7,0
7,0008-0250-0596,Straight Line,none,594,235,4,31,2,none,none,0,8,0,8,0
8,0009-0250-0596,Straight Line,none,594,235,4,31,2,none,none,0,9,0,9,0
9,0010-0249-0594,Straight Line,none,592,234,4,31,2,none,none,0,10,0,10,0
10,0011-0247-0591,Straight Line,none,589,232,4,31,2,none,none,0,11,0,11,0
11,0012-0246-0591,Straight Line,none,589,231,4,31,2,none,none,0,12,0,12,0
12,0013-0246-0591,Straight Line,none,589,231,4,31,2,none,none,0,13,0,13,0
13,0014-0246-0587,Straight Line,none,585,231,4,31,2,none,none,0,14,0,14,0
14,0015-0247-0587,Straight Line,none,585,232,4,31,2,none,none,0,15,0,15,0
15,0016-0247-0587,Straight Line,none,585,232,4,31,2,none,none,0,16,0,16,0
16,0017-0247-0582,Straight Line,none,580,232,4,31,2,none,none,0,17,0,17,0
17,0018-0245-0577,Straight Line,none,575,230,4,31,2,none,none,0,18,0,18,0
18,0019-0244-0578,Straight Line,none,576,229,4,31,2,none,none,0,19,0,19,0
19,0020-0243-0576,Straight Line,none,574,228,4,31,2,none,none,0,20,0,20,0
20,0021-0242-0574,Straight Line,none,572,227,4,31,2,none,none,0,21,0,21,0
21,0022-0240-0569,Straight Line,none,567,225,4,31,2,none,none,0,22,0,22,0
22,0023-0238-0566,Straight Line,none,564,223,4,31,2,none,none,0,23,0,23,0
23,0024-0238-0563,Straight Line,none,561,223,4,31,2,none,none,0,24,0,24,0
24,0025-0237-0559,Straight Line,none,557,222,4,31,2,none,none,0,25,0,25,0
25,0026-0237-0558,Straight Line,none,556,222,4,31,2,none,none,0,26,0,26,0
26,0027-0237-0555,Straight Line,none,553,222,4,31,2,none,none,0,27,0,27,0
27,0028-0237-0551,Straight Line,none,549,222,4,31,2,none,none,0,28,0,28,0
28,0029-0237-0548,Straight Line,none,546,222,4,31,2,none,none,0,29,0,29,0
29,0030-0237-0545,Straight Line,none,543,222,4,31,2,none,none,0,30,0,30,0
30,0031-0237-0542,Straight Line,none,540,222,4,31,2,none,none,0,31,0,31,0
31,0032-0237-0538,Straight Line,none,536,222,4,31,2,none,none,0,32,0,32,0
32,0033-0237-0536,Straight Line,none,534,222,4,31,2,none,none,0,33,0,33,0
33,0034-0237-0536,Straight Line,none,534,222,4,31,2,none,none,0,34,0,34,0
